,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
8,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,,,190.0,,,,,,,20.0,captivity,medium,acceptable,,,,,,Amphibians,Anura
11,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,,6000.0,,365.0,,,21.7667,,36.0,captivity,medium,acceptable,,,0.00829,21.6,288.0,Amphibians,Anura
12,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,,5200.0,,,,,,,11.5,captivity,medium,acceptable,,,,,,Amphibians,Anura
13,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,,1750.0,,,,,,,15.0,wild,medium,acceptable,,,,,,Amphibians,Anura
16,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730.0,730.0,,,,,,,,,,13.3,captivity,small,acceptable,,,,,,Amphibians,Anura
17,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,,,1500.0,,,,,,,11.3,captivity,medium,acceptable,,,,,,Amphibians,Anura
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,2.0,,,,,,,,,15.3,captivity,small,acceptable,,,,,,Amphibians,Anura
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,,,3.0,,3250.0,,,,,19.267,,10.0,captivity,medium,acceptable,,,0.00698,19.2,288.0,Amphibians,Anura
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,,,,,,,,,,40.0,captivity,medium,acceptable,,,,,,Amphibians,Anura
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,,1095.0,,,7750.0,,,,,,,15.4,captivity,medium,acceptable,,,,,,Amphibians,Anura
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,,10000.0,,,,,106.25,,24.8,captivity,large,acceptable,,,0.0303,105.0,293.0,Amphibians,Anura
35,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365.0,365.0,12.0,,6.0,,,,,,,20.5,captivity,large,acceptable,,,,,,Amphibians,Anura
36,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75.0,75.0,12.0,,7.0,,,,,,,11.5,captivity,large,acceptable,,,,,,Amphibians,Anura
48,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730.0,547.0,21.0,,35.0,,,,,,,7.8,captivity,medium,acceptable,,,,,,Amphibians,Anura
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278.0,1278.0,,,920.0,,,,,,,8.9,captivity,small,acceptable,,,,,,Amphibians,Anura
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,,,1.0,,1000.0,1.0,,,,,,8.5,captivity,medium,acceptable,,,,,,Amphibians,Anura
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730.0,730.0,4.0,,1800.0,,,,,7.2,,7.8,captivity,medium,acceptable,,,0.00433,6.97,290.5,Amphibians,Anura
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255.0,120.0,1.0,,1500.0,,,,,,,12.9,captivity,medium,acceptable,,,,,,Amphibians,Anura
66,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,,,32.0,,62.0,,,,,,,14.0,wild,medium,acceptable,,,,,,Amphibians,Anura
68,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,,,14.0,,40.0,,,,,,,10.9,captivity,large,acceptable,,,,,,Amphibians,Anura
70,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547.0,365.0,1.0,,722.0,,,,,,,6.8,captivity,small,acceptable,,,,,,Amphibians,Anura
72,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547.0,182.0,,,,,,1125.0,,,,5.0,wild,small,acceptable,,,,,,Amphibians,Anura
75,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,,,8.0,,1740.0,,,,,,,11.0,captivity,medium,acceptable,,,,,,Amphibians,Anura
78,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183.0,,2.0,,,,,,,130.0,,30.3,captivity,large,acceptable,,,0.012,63.6,288.0,Amphibians,Anura
81,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277.0,730.0,4.0,,,,,,,54.4,,16.0,captivity,medium,acceptable,,,0.0134,51.2,288.0,Amphibians,Anura
82,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730.0,730.0,,,4000.0,,,,,,,10.0,captivity,medium,acceptable,,,,,,Amphibians,Anura
83,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730.0,365.0,,,4146.0,,,,,29.0222,,9.0,wild,medium,acceptable,,,0.00576,21.6,289.78,Amphibians,Anura
84,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730.0,547.0,,,2250.0,,,,,,,6.0,wild,medium,acceptable,,,,,,Amphibians,Anura
86,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,,730.0,,,,,,,,,,6.2,captivity,small,acceptable,,,,,,Amphibians,Anura
88,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730.0,730.0,,,2800.0,,,,,,,15.0,wild,medium,acceptable,,,,,,Amphibians,Anura
89,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912.0,912.0,6.0,,,,,,,,,6.8,captivity,small,acceptable,,,,,,Amphibians,Anura
